"answer_id";"text";"create_time";"update_time";"upvote_count";"questions_question_id";"user_id"
11;"The opposite is true. You can use extern C to add code you want to compile as C code using a C++ compiler.

Unless I'm missing something you can't compile C++ code with a C compiler.";"2016-04-24 00:09:33";"2016-04-24 00:09:33";1;6;23
12;"extern ""C"" tells the C++ compiler that functions with declarations or prototypes in the ""extern C"" block won't be name-mangled, which fixes this problem.

If you are including a C header file that isn’t provided by the system, and if you are able to change the C header, you should strongly consider adding the extern ""C"" {...} logic inside the header to make it easier for C++ users to #include it into their C++ code. Since a C compiler won’t understand the extern ""C"" construct, you must wrap the extern ""C"" { and } lines in an #ifdef so they won’t be seen by normal C compilers.Reference link Here.

C++ supports function name overloading by using Name mangling to create the actual function name in object files, where the ""real"" function name must be unique.

C does not do this, so if you compile a C file using a standard C compiler in ""C mode"" (whatever that means for the particular compiler), its object file will not have function names mangled, and you'll get link errors if you attempt to call functions in it from C++ if you only have the function definition in your C++ file (or header).";"2016-04-24 00:09:33";"2016-04-24 00:09:33";0;6;26
13;"extern ""C"" is a way of putting C code in C++ code. More specifically it tells the compiler to disable certain things like function overloading so that it can also turn off the name mangling. In C++ a simple function like:

int add(int a, int b) {
    return a+b;
}
Will actually get some funky name in the library to denote the parameters so that if you define another function like:

double add(double a, double b) {
    return a+b;
}
That it knows which one to call. You don't want that if you're trying to use a C library and that's what extern ""C"" is for. All of this being said, extern ""C"" does not allow C++ in a C program.";"2016-04-24 00:09:33";"2016-04-24 00:09:33";1;6;27
14;"It's because 1 << 35 is an operation using int. If you want 64-bit types then use 1ULL << 35 to make sure it's an operation using unsigned long long (which is guaranteed to be at least 64 bits).";"2016-04-24 00:13:25";"2016-04-24 00:13:25";3;7;23
15;"auto x = std::uint64_t(1) << 35;";"2016-04-24 00:13:25";"2016-04-24 00:13:25";2;7;24
16;"The problem you have is that the compile time evaluate constant expression 1 << 35 is performed with int types. So it's likely you are overflowing that type and the behaviour is undefined!

The simplest fix is to use 1ULL << 35. An unsigned long long literal must be at least 64 bits.";"2016-04-24 00:13:25";"2016-04-24 00:13:25";2;7;26
17;"uint64_t x = 1000000000ull;
The ull marks the value as unsigned long long

int64_t y = 1000000000ll;
The same with a normal long long.

uint64_t x2 = (1ull << 35ull);
Simply add ull at the end of your number.";"2016-04-24 00:13:25";"2016-04-24 00:13:25";0;7;30
18;"Assuming A as the input array, here's a vectorized approach based on initialization with zeros -

# Get indices at which such diff>15 occur 
cut_idx = np.where(np.diff(A[:,1]) > 15)[0]

# Initiaize output array
out = np.zeros((A.shape[0]+len(cut_idx),2),dtype=A.dtype)

# Get row indices in the output array at which rows from A are to be inserted.
# In other words, avoid rows to be kept as zeros. Finally, insert rows from A.
idx = ~np.in1d(np.arange(out.shape[0]),cut_idx + np.arange(1,len(cut_idx)+1))
out[idx] = A
Sample input, output -

In [50]: A  # Different from the one posted in question to show variety
Out[50]: 
array([[   0.  ,    0.  ],
       [   1.85,    0.6 ],
       [   2.73,   19.13],
       [   2.2 ,   76.33],
       [   2.49,   85.85],
       [   2.55,  104.9 ],
       [   2.65,  114.47],
       [   1.79,  163.98],
       [   2.86,  169.55]])

In [51]: out
Out[51]: 
array([[   0.  ,    0.  ],
       [   1.85,    0.6 ],
       [   0.  ,    0.  ],
       [   2.73,   19.13],
       [   0.  ,    0.  ],
       [   2.2 ,   76.33],
       [   2.49,   85.85],
       [   0.  ,    0.  ],
       [   2.55,  104.9 ],
       [   2.65,  114.47],
       [   0.  ,    0.  ],
       [   1.79,  163.98],
       [   2.86,  169.55]])";"2016-04-24 00:15:32";"2016-04-24 00:15:32";0;8;25
19;"Assuming I understand what you're trying to do, you could do something like this:

var person = bidInfo.Companies
            .Where(c=>c.CompanyDomain != null)
            .SelectMany(c=>c.CompanyDomain.People)
            .SingleOrDefault(p=>p.Name == bidInfo.ArchitectPerson.Name);
Note that you're already not filtering on the company (you're just getting the first company that has someone with that name, what if there are multiples? If that's not possible then the company check is useless and you may as well do as I do and just select all people then filter on that instead of going inside of each company, checking if the person is there, then somehow going up and back down!)";"2016-04-24 00:17:58";"2016-04-24 00:17:58";1;9;21
20;"If I understand correctly, you are trying to find the first company with a person that has the same name as the architect, and then return both.

If so, then I think this will work:

var query =
    from c in bidInfo.Companies
    from p in c.CompanyDomain.People
    where p.Name == bidInfo.ArchitectPerson.Name
    select new { c, p };

var first = query.FirstOrDefault();

Company existingCompany = first?.c;
Person existingPerson = first?.p;
Let me know if I've missed anything.

";"2016-04-24 00:17:58";"2016-04-24 00:17:58";1;9;23
21;"It's an implicit conversion; the class CWnd has an operator HWND() conversion function, and HWND is a pointer type.

Deleting that HWND is an error, but the compiler doesn't know that and can't warn you.";"2016-04-24 00:20:39";"2016-04-24 00:20:39";2;10;27
22;"It's possible to write a simple mcve that reproduces the behaviour that you're asking about:

struct foo {
    operator int*() {
        return nullptr;
    }

    void bar() {
       delete *this; 
    }
};

int main() {
    foo f;
    f.bar();
}
This compiles because foo is implicitly convertible to a pointer type. Same could be the case for your class.";"2016-04-24 00:20:39";"2016-04-24 00:20:39";1;10;26
